installations,value_char,display,country,var,sector,size,value,year
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2005
All entities,2096 444 196.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2096444196,2005
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2006
All entities,2078 545 547.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2078545547,2006
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2007
All entities,2194 581 686.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2194581686,2007
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2008
All entities,2010 869 343.200,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2010869343.2,2008
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2009
All entities,2049 446 817.200,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2049446817.2,2009
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2010
All entities,2080 795 273.200,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2080795273.2,2010
All entities,  0.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,0,2011
All entities,2101 207 987.200,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2101207987.2,2011
All entities,70 016 366.262,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,70016366.2624927,2012
All entities,2169 152 610.200,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2169152610.2,2012
All entities,32 133 577.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,32133577,2013
All entities,2121 722 140.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,2121722140,2013
All entities,41 347 612.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,41347612,2014
All entities,1557 207 743.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,1557207743,2014
All entities,48 104 166.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,48104166,2015
All entities,1511 621 873.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,1511621873,2015
All entities,37 584 893.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,37584893,2016
All entities,1553 741 977.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,1553741977,2016
All entities,37 389 272.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,37389272,2017
All entities,1737 920 633.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,1737920633,2017
All entities,37 715 642.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),10 Aviation,All sizes,37715642,2018
All entities,1661 173 587.000,Grid,All Countries,1. Total allocated allowances (EUA or EUAA),20-99 All stationary installations,All sizes,1661173587,2018
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2005
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,0,2005
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2006
All entities,6 781 750.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),20-99 All stationary installations,All sizes,6781750,2006
All entities,  0.000,Grid,All Countries,1.3 Allowances auctioned or sold (EUAs and EUAAs),10 Aviation,All sizes,0,2007
